tay,vietnamese
mác fầy ốt rù đăng ván chả,quả giâu gia to bằng lỗ mũi thì gieo mạ
mác khưa,quả cà tím
mác khưa,quả cà
mác khưa cắm,cà tím
mác khấy,quả mướp đắng
mác khấy khôm,mướp đắng đắng
mác khẩu,quả gấc
mác làng,quả cau
mác lì mồn lít,quả lê tròn trĩnh
mác lót,quả nhót
muôi cần pây hết fiệc chang râ_y.,mười người đi làm việc trong rẫy.
muôi,mười
moong,mốc
moòng,vang
mon pjạ cúa chài sắc lai.,mũi dao của anh sắc lắm.
mon poòng,thóp còn mềm
mon poòng,đồ trẻ con
mon thua,gối đầu
mon tôi,gối đôi
"mong lăng, gia đình lầu vằn vằn lèng lẹo, slí mjạc.","mong sao, gia đình ta ngày nào cũng khỏe mạnh, vui vẻ."
mooc poọc nhọt khau,sương mù bao bọc đỉnh núi
moong,bụi phủ
moòng,ồn
moong,mõ
moong,xám
moong mú,lờ mờ
moong mú,tờ mờ
moong múp,mốc thếch
moòng,kêu
moòng,nổ
moòng,tiếng động
mác lùm,thận
mác lải,hạt cây lai
mu nựa,lợn bột
mác pục,quả bưởi
mác lịch chá cân hả slíp xiên,hạt dẻ giá năm mươi nghìn một cân
mác men mèng dắc,quả bị ong châm
mác phjết,ớt
mác phung,quả mơ
mác phết,ớt
mác poóp đeng,quả doi đỏ
mác pái,quả vải
mác páp,xương bánh chè
mác pục fù pống pống chang thôm,quả bưởi nổi lềnh bềnh dưới ao
mác fầy,quả giâu gia
mác phjầy,quả dâu da
mác pục hông xắng xắng,bưởi he hăng hăng
mác pục nhằng mưn.,bưởi còn the.
mác pục slổm chít,bưởi chua loét
"mác pục tố búm, da din chin nựa cần",phù thủy ăn thịt người
"mác pục tố búm, da din chin nựa cần",quả bưởi rơi đánh bùm
mác pục đét đát,quả bưởi rám nắng
mác qjuà,cào phơi lúa
mác chia đông,chôm chôm rừng
mác cuốc,cái cuốc
mác cỏt eng hươn mác lì.,quả cọt bé hơn quả lê.
"mác cỏt bấu tồng mác lì, thì này bấu tồng thì cáu",thời nay không như thời xưa.
mác diêu,quả cật
mác chí,quả hồng
mác chí,quả hồng hột
mác chăng,quả cân
mác chẻ,quả cà chua
mác chẻ hăm dái mạ,cà dái dê
mác chẻ khưa,cà tím
mác chẻ slau,cà chua
"mác co nẩy ngọt bấu, cho khỏi nếm thử vạ.","hạt dẻ này có ngọt không, cho tôi nếm thử với."
mác dửa,quả dứa
mác coóc,cốc vào đầu
mác các cô,đu đủ
mác cưởm,quả trám trắng
mác cưởm,trám xanh
mác cưởm slứa slác chang đông,trám vô khối trong rừng
mác cọt,quả lê dại
"mác cỏt bấu tồng mác lì, thì này bấu tồng thì cáu",mác cọt không giống lê
moòng,động
moòng bấu chắc tàng ni,luống cuống không biết đường chạy
mon nâng mjẹp mjẹp.,thóp phập phồng.
mon,cái thóp
mo,cúng
mo,khấn
mo me,khấn khứa
mo phi,khấn ma
moi,lông
"moi cúa cáy dài lai, ấm.","lông của gà dài lắm, ấm."
mjừ,quả nhừ
moi cúa te đây lai.,lông của nó đẹp lắm.
mon,mòn
moóc bân đang moóc dú phạ.,mây đang bay trên trời.
mon,mũi
mon hua,cái gối đầu
"mon hua nảy cao quá, nòn pỉng co.","cái gối đầu này cao quá, ngủ đau cổ."
mon men,hao mòn
mon men,mòn
mon mừ,gối tay
mon,cái gối
mon nâng mjẹp mjẹp,thóp phập phồng
mjửn,tê
"mjừ mác nẩy chua, bấu đây kin.","quả nhừ này chua, không ngon đâu."
moóc tỏa,sương phủ
moóc đang kéo mà đăm slí phạ.,mây đang kéo đến đen kịt cả bầu trời.
"mu nựa nẩy chấn lai, ái liệng.","lợn bột này béo lắm, muốn nuôi."
mu phjốt oóc coọc,lợn chui tọt ra khỏi chuồng
mu pjói leng rông,lợn thả rông
mu pụt,mũ miện của thầy cúng
mu pụt cúa thầy cúng đây lai.,mũ miện của thầy cúng đẹp lắm.
mu đông lồng chat,lợn rừng bị sa hố chông
mu rang cải,con lợn tạng lớn
mu ríu,heo đực
mu sliêu,lợn quay
mu sliêu,thịt lợn quay
mu slí kíp,mũ bốn múi
mu slíu,lợn đực giống
mu slộm cùn bắp,lợn nhá lõi ngô
mu tạng rì,lợn dáng dài thân
mu tầy,lợn đực giống
mu ron,lợn kêu
mu,cây
mjừ,cây
mjỏn,tước
mjề pây tả sle hẩư phua sloong tua lục,vợ đi
mon pjạ,mũi dao
moòng khoòng,hoảng hốt
moòng khoòng,luống cuống
moòng nằn,rền vang
moòng nằn,ồn ã
moóc,màu nâu
moóc,mây
moóc,sương mù
moòng bấu chắc tàng ni.,luống cuống không biết đường chạy.
moóc bân đang che phạ.,mây đang che trời.
moóc bên pàn pù,mây bay sườn núi
"moóc bên pàn pù lai, bấu hăn tàng.","mây bay sườn núi nhiều, không thấy đường."
moóc bên pàn pù.,mây bay sườn núi.
moóc lắt,sương mù dày đặc
moóc lắt lí,sương mù dày đặc
moóc lắt lí che phạ.,sương mù dày đặc che trời.
moóc slán,sương tan
moóc tỏa,buông
moòng bặng tó khảu xum,ồn như ong vào lỗ
"mon nâng mjẹp mjẹp, lục đếch đang nòn.","thóp phập phồng, đứa trẻ đang ngủ."
mjề rèo phua hết chin,vợ theo chồng làm ăn
mung vài dú nà.,trông trâu ở ruộng.
mjề tắng phua mà,vợ đợi chồng về
mjền,mịn
mjền mít,mịn màng
"mjền mít, hết hẩư mjển mjụp.","mịn màng, làm cho nhừ nhuyễn."
mjều,mau thời vụ
mjển mjụp,nhừ nhuyễn
mjục,nước mũi
mjểt,hái
"mjểt chè dú đông, khỏ lai.","hái chè trên rừng, vất vả lắm."
mjểt mác pjom,hái quả nhân khi gió lớn
mjểu,miếu
mjỏ,thọc tay
mjỏ mừ khảu tây,thọc tay vào túi
mjỏn,chìa ra
mjỏn,lột
mjỏn,trồi
mjểt chè,hái chè
mjằm,cái vòng tay
mjặt,nhặt
mjặt mjẹt ti ăn,nhặt nhạnh mỗi nơi một quả
mảy tứn cón mảy khôm,măng đắng
mấư tích,mới mẻ
mảy lạp che nặm pjằng,măng khô ngâm nước nở ra
mảy pu,búp măng mập
mảy pàu tứn tắng loạt,măng vầu mọc san sát
mảy pàu xào bốm,măng vầu xào cho thêm nước
"mảy sle quá cừn, men đắn chin bấu van",măng để qua đêm bị sượng ăn không ngon
mảy tội đin khửn,măng trồi đất lên
mảy tứn cón mảy khôm,măng mọc trước
mần,tròn
mất,mất
mất,hết nhẵn
mất,quang
mất lit,nhẵn nhụi
mất lit,quang đãng
mất mjạp,quang quẻ
mất mjạp,trơ trụi
"mất tua vài, chếp lai",mất con trâu đau xót lắm
mấư,mới
mần léng,tròn vo
mảy khửn chai,măng mọc già
mầu néng bấu thâng mác cao.,bạn với không tới quả cao.
mầư au me pửa tầư mà câu bấu chắc?,mày lấy vợ lúc nào mà tao không biết?
mầng phuối pện ngo hăn ngám cò,mày nói thế tớ thấy vừa lòng
mầu,buồn
mầu,nhức
mầu,rù
mầu,say
mầu,ốm
mầu muôn,thẫn thờ
mầu nghị cạ câu mì chèn lai á?,mày tưởng tao có nhiều tiền lắm à.
mầng,x. mầư
mầu ngòi hăn pỏ câu dú tỉ hâu bấu?,mày có nhìn thấy bố tao ở đâu không?
"mầu néng bấu thâng, buồn lai.","bạn với không tới, buồn lắm."
mầu nòn,buồn ngủ
mầu nòn,ngáp ngủ
mầu đét,say nắng
"mầu ơi, slon tiểng tày cần dùng lai bấu?","bạn ơi, học tiếng tày cần dùng nhiều không?"
"mầu ơi, slon tiểng tày mì khỏ lai bấu?","bạn ơi, học tiếng tày có khó lắm không?"
mầư,mày
mấư dích,mới tinh
mác slúc khứa,quả còn ương
mèng đát,muỗi đốt
mèng tẹp,giun đũa
mèo mó mé nu dú noọc rườn.,mèo rình rập chuột ở ngoài nhà.
mèng pưn,x. non tao tinh
mèng quang,con chuồn chuồn
mèng rưẩn,con dĩn
mèng thương bên phứt phứt,ong bay vun vút
mèng tặp,ong mật
mèng tẹp,giun kim
mèng tẹp,giun sán
mên bẻ,hôi nách
"mùa thu, bâư mạy vàng slí tồng nà.","mùa thu, lá cây vàng khắp cánh đồng."
mèng đeng,con bọ đỏ
mèng đươn thai cốc mác,giun chết dưới gốc cây ăn quả
mèo,con mèo
mèo ca,mèo đen
mèo chin lặc,mèo ăn vụng
mèo cặp nu,mèo bắt chuột
mèo fát le pja,mèo bị còi thì cho ăn cá
mèo lì pát,mèo liếm bát
mèo mó nu,mèo rình chuột
mèo mó nu dú chang rườn.,mèo rình chuột trong nhà.
mèo ngáo,mèo kêu
mên,thối
"mùa thu mác slúc, đét ón, moóc lồng.",sương xuống.
mèo oóc tu,mèo vắng nhà chuột ca hát
mèo oóc tu nu hết xướng,mèo vắng nhà chuốt hát ca
mèo pắt đảy nu nhằng xang,mèo bắt được chuột còn vờn
mèo quà,mèo cào
mèo slép pja,mèo thèm cá
mèo vát,mèo cào
mèo xúp pja,mèo ngửi cá
mé,bà nội
mé,mẹ
mé sloon lục thây đin toọn nhác,"con cầy, mẹ phát ruộng ta quang"
mé ủm,bà nội
méng,tái
méng xét,tái mét
mên,hách dịch
mên,hôi
mên,khai
mảy li,măng mọc trái vụ
mảng,máng
mầư chắc slan sloóc bấu?,mày biết đan lát không?
mậc slư nam,mực chữ nho
mẩu,giã
mẩu,nện
mẩu hẩư tón nâng,nện cho một trận
mẩy,cháy
mẩy,khê
mẩy,miếng cháy
mật mèng tom bjoóc,côn trùng hút nhụy hoa
mẩy khẻm,cháy xém
mậc đăm,mực đen
mạy phấy thai khuy,tre chết lụi
mật,kiến
mật fạ,kiến vống
mật khêm,kiến kim
mật khốp,kiến đốt
mật lồm,kiến gió
mật mèng,côn trùng
mậc,mực
"mùa xuân ún on, bjoóc phông khoóp bại pàn pù, tọ luôn phân mốn, pây tàng slẳm kha",hoa nở khắp mọi nơi
mẩt mèng đảy giao hẹn đuổi hoa,bướm ong cùng giao hẹn với hoa
mầư đạ pứ phừn về xằng?,mày đã gánh củi về chưa?
mật mèng rặp tom bjoóc,ong bướm dập dìu với hoa
mật pâu năm thương,kiến bâu nước đường
mậu,mập
mậu mụp,bụ bẫm
mậu nồm,bụ sữa
mắc,bởi vì
mắc,tại vì
mật rày,kiến ngạt
mắc bấu tinh cằm cần ké,tại không nghe lời người lớn
"mắc tại mỏ bấu đây, khây chắng nghiếng",vì nồi không ngay cho nên chõ bị nghiêng.
mắn,bền
mắn,chắc
mắn,vững
"mắn bặng phja, na bặng đán.",dày như bàn thạch.
"mắn bặng phja, na bặng đán.",vững như núi đá
"mắn bặng phja, na bặng đán.","vững như núi, dày như bàn thạch."
mắn chát,chắc chắn
mắc nùm,vú
mầư đạ choòng bần về xằng?,mày đã đóng bàn về chưa?
mầư dèn câu doại,mày chìa tao đưa
mầư chắc cọn lếch bấu?,mày biết rèn không?
"mạy tắc nhằng tứn lun, hua cún bấu pền cần",cây gẫy còn mọc chồi
mạy táng tứn chang đông,cây tự mọc trong rừng
mạy oóc bâư,cây nẩy chồi
mạy peo,nứa
mạy peo slóe,cây nứa bị giập nát
mạy phjeo,tre
mạy phấy,tre
mạy phấy che nặm mên úng,tre ngâm nước mùi thối
mạy phấy hết rườn,tre làm nhà
mạy tăc bíp bjáp,cây gãy răng rắc
mạy phấy ké,tre già
mạy riển,xoan
mạy râm rườn,cây rầm nhà
mạy rẩm,măng chua
mạy slót hang,cây thót ngọn
mạy thai dồng,cây chết khô
mạy thai khuy,cây chết lụi
mạy thốc,cây luồng
mạy toòng,vông
mạy non lòn pền báng,cây bị sâu cắn thành hốc
mạy tắc bjáp bjáp,cây gãy răng rắc
"mạy tắc nhằng tứn lun, hua cún bấu pền cần",người cụt đầu không sống được
mản,gáy dở
mạy tắc nhằng tứn run,cây gãy còn mọc chồi
mạy tẳng roạt,cây mọc san sát
mạy tứn lun,cây ra lộc
mạy xao,xoan hôi
mạy đoóc,gỗ mục
mạy đút hang,cây cụt ngọn
mạy tắc bjốp bjốp,cây gãy đôm đốp
mả,chồng
mả,mồ
mả,mộ
mả,vợ
mả chỏ,mả tổ
mả chỏ,mộ tổ
mả chỏ tảng táng tềng khau,mộ tổ táng trên núi cao
mải,góa
mải bjoóc,góa khi còn trẻ
mả,lớn lên
mèo lùy pát,mèo liếm bát
mên bốt,thiu
mậu,bụ bẫm
mây đăm,chỉ đen
mèng mau,con mối bay
mèng fừn tom thương,ruồi bâu mật
mây mọn đây lai.,tơ tằm đẹp lắm.
mèng,côn trùng
mèn,con cừu
mây sli,chỉ màu
mây sli,chỉ thêu
mây sli sléo khân nả,chỉ màu thêu khăn mặt
"mè cáy rục, lục nàng tiên",con lại là nàng tiên. mẹ con cóc
mè nhình slam chap slẩy ma vò chài slam và lẩy bjoóc,đàn bà ba gang ruột chó
"mè cáy rục, lục nàng tiên",con nàng tiên
"mè cáy rục, lục nàng tiên",mẹ là con cóc
mè hẩư nà tẩư rườn đây hơn mẻ hẩư slươơng ngần péc,mẹ cho ruộng dưới nhà tốt hơn cho hòm bạc trắng
mèn,mền
"mè mìa bặng đioọng, vì noọng bặng ăn niêng",anh em như cái diều
"mè nhình chạn hất phải pền hền, pó chài chạn hât công pền nạn",đàn bà lười trồng bông thành cáo
"mè nhình chạn hất phải pền hền, pó chài chạn hât công pền nạn",đàn ông lười làm ruộng thành hươu
"mè nhình lèng vài, pò chài lèng cáy",phụ nữ khỏe sức trâu
mèng lọm sluôn,phên rào vườn
mèng lìn roọng lắt lí,ve sầu kêu ra rả
mèng lìn roọng cốc thốc,ve rừng kêu ở gốc luồng
mèng khiêng,bệnh sâu thớt
mác tốc lồng đin,quả rơi xuống đất
mì cặn tỉ,có bằng ấy
mát,chửa
mây slam theo,chỉ ba sợi
mèng,phên
mèng,sâu
mèng chầng,mật ngọt
mèng chầng,ong nhỏ
mèng cà,con giời leo
mèng dây,tò vò
mèng fừn,con ruồi
mèng fừn pâu,ruồi bu
mèng,mành
mèng fừn thai pát nặm thương,ruồi chết ở bát nước đường
mèng hai,con đom đóm
mèng kheo,con nhặng xanh
mèng khiêng,bệnh hà
"mè nhình lèng vài, pò chài lèng cáy",đàn ông khỏe sức gà
mè nhình slam chap slẩy ma vò chài slam và lẩy bjoóc,đàn ông ba sải ruột hoa
mên chào,hôi tanh
"mí slon mí hơn, ná lười.","không học không hơn, đừng lười."
mòn lăng tố thiên,cái gì cũng biết
mó,ngó
mò đông,bò rừng
mó,rình
mín mít,cheo leo
mín,mút
mí pú ké cẳm chang mà vạ. đang nũng bộ slửa khoá pò nông.,lại có ông cụ già đi chân đất. mặc quần áo người nùng.
mí rườn mè hãy than mát pò. tóc nậm thai xa bố hẳn tang.,có nhà con khóc than mất bố. vợ khóc than thảm thiết mất chồng.
"mí slon mí hơn, tẻo lẹo pện po te.","không học không hơn, sau này lại như bố nó."
mè đá bố tảy pỏ cượn tha,mẹ mắng chẳng bằng bố trừng mắt
mí slửa khóa lục đếch,giặt quần áo trẻ sơ sinh
mí tin slút,giặt gấu màn
mí ái kin.,không muốn ăn.
"mí ái pây tầư náu, ái dú rườn thôi.","chẳng muốn đi đâu cả, chỉ muốn ở nhà thôi."
mín,mớm
mí ỏm,giặt tã
"mí, câu bấu pây đâu, dú rườn thôi.","không, tao không đi đâu, ở nhà thôi."
"mí, pây háng mệt, câu bấu pây.","không, đi chợ mệt, tao không đi."
mòn lăng tố mì dú háng.,thứ gì cũng có ở chợ.
mòn lăng tố mì,thứ gì cũng có
mòn,thứ
mòn,loại
mèn,bông
"mè mìa bặng đioọng, vì noọng bặng ăn niêng",vợ mình như cái bung
mì cốc chẳng mì pjai,có gốc mới có ngọn
"mì fiệc khỏ, pỉ noọng chang bản pang chỏi căn.","có việc khó, mọi người trong bản giúp đỡ nhau."
mì făn,có ngày
mín mít,mớm
mò,con bò
mò eng,con bê
mò pì,thằn lằn
mò sleng,bò đực
mò tháo,con bò nhỡ
mò tại xe,bò kéo xe
mò tại xe nắc hơn thư nà.,bò kéo xe nặng hơn cày ruộng.
mín mít,mút
mò tại xe đảy lai.,bò kéo xe được nhiều.
mòi,mối
mòn,cây dâu tằm
mác ít,quả nho
mác xáy khâm,mướp đắng
mác xáy cáy,trứng gà
mên mẩy,mùi cháy
mì,giàu
mì,có
mên kheo,hôi
mên kín,hôi nách
mên kín,tấu
mên món,hoi
mên món,hôi
mên mẩy,khét
mên mẩy,mùi khê
mác vừng,khế
mì,có khi
mên neo,khai mùi nước đái
"mên neo, mí nắt lai.","khai mùi nước đái, không thích lắm."
mên nâu,hôi thối
mên pjẹng,khú
mên sleng,hôi
mên slổm,hôi hám
mên slổm,mùi chua
mèng pu,ong bầu
mì chin mì nung,đủ ăn đủ mặc
mì cằm khan mà tó,có tiếng đáp lại
mì cảo cần tầu pây đếch hăn phi?,có ai lại nhìn thấy ma?
mên chào,tanh
mì,đôi khi
mì,đủ
"mì bài fuối mừa tình cảm ân nghịa po me, lục lan họ háng, bản con.",con cháu
"mì bài fuối mừa tình cảm ân nghịa po me, lục lan họ háng, bản con.",có bài cảm ơn bố mẹ
"mì bài fuối mừa tình cảm ân nghịa po me, lục lan họ háng, bản con.",có bài nói về tình cảm ân nghĩa
"mì bài fuối mừa tình cảm ân nghịa po me, lục lan họ háng, bản con.",họ hàng
"mì bài fuối mừa tình cảm ân nghịa po me, lục lan họ háng, bản con.",làng bản.
mì bài lượn sle slao báo fuối xảo căn,có bài trai gái nói về nhau
mì,may ra
mì bát,có khi
mì chin phuối,ăn nói bạo dạn
"mì chài pây pậu, noọng hăm mốc mắn",có anh đi cùng em thấy yên tâm
mì coóc chẳng oóc slan,có thóc mới có gạo
mì coóc chẳng oóc slan,có thóc mới làm ra gạo
